ORNTA	C00025 + C01165 <=> C00026 + C00077
ALATA_L	C00025 + C00022 <=> C00026 + C00041
ASPTA	C00025 + C00036 <=> C00026 + C00049
ASAD	C03082 + C00005 <=> C00441 + C00006 + C00009
HSDy	C00441 + C00005 <=> C00263 + C00006
SDPTA	C00025 + C04462 <=> C00026 + C04421
VALTA	C00141 + C00025 <=> C00026 + C00183
IPPMIb	C02504 <=> C02631 + C00001
IPPMIa	C02631 + C00001 <=> C04411
ILETA	C00671 + C00025 <=> C00026 + C00407
PHETA1	C00025 + C00166 <=> C00026 + C00079
TYRTA	C01179 + C00025 <=> C00026 + C00082
DAAD	C01352 + C00014 + C00022 <=> C00133 + C00016 + C00001
GLUDy	C00026 + C00005 + C00014 <=> C00025 + C00001 + C00006
RPI	C00199 <=> C00117
TKT2	C00085 + C00118 <=> C00279 + C00231
PGK	C00236 + C00008 <=> C00197 + C00002
PGM	C00197 <=> C00631
ACKr	C00227 + C00008 <=> C00033 + C00002
ACS	C00024 + C00020 + C00013 <=> C00033 + C00002 + C00010
SUCOAS	C00008 + C00009 + C00091 <=> C00002 + C00010 + C00042
GLU5K	C00002 + C00025 <=> C00008 + C03287
G5SD	C03287 + C00005 <=> C01165 + C00006 + C00009
G5SADs	C01165 <=> C03912 + C00001
P5CR	C03912 + C00005 <=> C00006 + C00148
CBPS	2 C00002 + C00064 + C00001 + C00288 <=> 2 C00008 + C00169 + C00025 + C00009
OCBT	C00169 + C00077 <=> C00327 + C00009
ARGSS	C00049 + C00002 + C00327 <=> C00020 + C03406 + C00013
ARGSL	C03406 <=> C00062 + C00122
ASNS1	C00049 + C00002 + C00064 + C00001 <=> C00020 + C00152 + C00025 + C00013
PGCD	C00197 + C00003 <=> C03232 + C00004
PSERT	C03232 + C00025 <=> C00026 + C01005
PSP_L	C00001 + C01005 <=> C00009 + C00065
SERAT	C00024 + C00065 <=> C00979 + C00010
CYSS	C00979 + C00283 <=> C00033 + C00097
ASPK	C00049 + C00002 <=> C03082 + C00008
HSK	C00002 + C00263 <=> C00008 + C01102
THRS	C00001 + C01102 <=> C00009 + C00188
DHDPS	C00441 + C00022 <=> C03340 + 2 C00001
DHDPRy	C03340 + C00005 <=> C00006 + C03972
THDPS	C00001 + C00091 + C03972 <=> C00010 + C04462
SDPDS	C00001 + C04421 <=> C00666 + C00042
DAPE	C00666 <=> C00680
DAPDC	C00680 <=> C00011 + C00047
HSST	C00263 + C00091 <=> C00010 + C01118
SHSL1	C00097 + C01118 <=> C02291 + C00042
CYSTL	C02291 + C00001 <=> C00155 + C00014 + C00022
ACLS	2 C00022 <=> C06010 + C00011
KARA1i	C06010 + C00005 <=> C04272 + C00006
DHAD1	C04272 <=> C00141 + C00001
IPPS	C00141 + C00024 + C00001 <=> C02504 + C00010
IPMD	C04411 + C00003 <=> C04236 + C00004
OMCDC	C04236 <=> C00233 + C00011
LEUTAi	C00233 + C00025 <=> C00026 + C00123
THRD_L	C00188 <=> C00109 + C00014
ACHBS	C00109 + C00022 <=> C06006 + C00011
KARA2i	C06006 + C00005 <=> C06007 + C00006
DHAD2	C06007 <=> C00671 + C00001
DDPA	C00279 + C00001 + C00074 <=> C04691 + C00009
DHQS	C04691 <=> C00944 + C00009
DHQD	C00944 <=> C02637 + C00001
SHK3Dr	C02637 + C00005 <=> C00006 + C00493
SHKK	C00002 + C00493 <=> C00008 + C03175
PSCVT	C00074 + C03175 <=> C01269 + C00009
CHORS	C01269 <=> C00251 + C00009
CHORM	C00251 <=> C00254
PPNDH	C00254 <=> C00011 + C00001 + C00166
PPND	C00003 + C00254 <=> C01179 + C00011 + C00004
ANS	C00251 + C00064 <=> C00108 + C00025 + C00022
PRPPS	C00002 + C00117 <=> C00020 + C00119
ANPRT	C00108 + C00119 <=> C00013 + C04302
PRAIi	C04302 <=> C01302
IGPS	C01302 <=> C03506 + C00011 + C00001
TRPS1	C03506 + C00065 <=> C00118 + C00001 + C00078
IGPDH	C04666 <=> C00001 + C01267
HSTPT	C00025 + C01267 <=> C00026 + C01100
HISTP	C00001 + C01100 <=> C00860 + C00009
HISTD	C00001 + C00860 + 2 C00003 <=> C00135 + 2 C00004
THRAr	C00188 <=> C00084 + C00037
ACALDi	C00084 + C00010 + C00003 <=> C00024 + C00004
GLUSy	C00026 + C00064 + C00005 <=> 2 C00025 + C00006
GLNS	C00002 + C00025 + C00014 <=> C00008 + C00064 + C00009
G6PDH2r	C00092 + C00006 <=> C01236 + C00005
PGL	C01236 + C00001 <=> C00345
GND	C00345 + C00006 <=> C00011 + C00005 + C00199
TKT1	C00117 + C00231 <=> C00118 + C05382
TALA	C00118 + C05382 <=> C00279 + C00085
PGI	C00092 <=> C00085
PFK	C00002 + C00085 <=> C00008 + C00354
FBA	C00354 <=> C00111 + C00118
TPI	C00111 <=> C00118
GAPD	C00118 + C00003 + C00009 <=> C00236 + C00004
ENO	C00631 <=> C00001 + C00074
PYK	C00008 + C00074 <=> C00002 + C00022
PDH	C00010 + C00003 + C00022 <=> C00024 + C00011 + C00004
POX	C00001 + C00022 + C00399 <=> C00033 + C00011 + C00390
PTAr	C00024 + C00009 <=> C00227 + C00010
EDD	C00345 <=> C04442 + C00001
EDA	C04442 <=> C00118 + C00022
CS	C00024 + C00001 + C00036 <=> C00158 + C00010
ICDHyr	C00311 + C00006 <=> C00026 + C00011 + C00005
TEST_AKGDH	C00026 + C00010 + C00003 <=> C00011 + C00004 + C00091
SUCD1i	C00399 + C00042 <=> C00390 + C00122
FUM	C00122 + C00001 <=> C00149
MDH	C00149 + C00003 <=> C00004 + C00036
MDH2	C00149 + C00399 <=> C00036 + C00390
PPC	C00011 + C00001 + C00074 <=> C00036 + C00009
ME1	C00149 + C00003 <=> C00011 + C00004 + C00022
ME2	C00149 + C00006 <=> C00011 + C00005 + C00022
ACONTa	C00158 <=> C00417 + C00001
ACONTb	C00417 + C00001 <=> C00311
