R1	C00166 + C00025 <=> C00079 + C00026
R13	C00108 + C00119 <=> C04302 + C00013
R200	C01146 + C00005 <=> C00258 + C00006
R206	C00048 + C00025 <=> C00037 + C00026
R219	C03232 + C00025 <=> C01005 + C00026
R223	C00085 <=> C00092
R228	C00111 + C00118 <=> C00354
R231	C00236 + C00005 <=> C00118 + C00009 + C00006
R234	C00197 <=> C00631
R278	C01267 + C00025 <=> C01100 + C00026
R289	C14463 + C00005 <=> C06007 + C00006
R292	C00233 + C00025 <=> C00123 + C00026
R293	C00141 + C00025 <=> C00183 + C00026
R294	C00671 + C00025 <=> C00407 + C00026
R295	C00024 + C00141 + C00001 <=> C02504 + C00010
R298	C02631 + C00001 <=> C04411
R300	C04236 <=> C00233 + C00011
R30	C03287 + C00005 <=> C01165 + C00009 + C00006
R3	C01179 + C00025 <=> C00082 + C00026
R36	C03912 + C00005 <=> C00148 + C00006
R41	C01165 <=> C03912 + C00001
R419	C00111 + C00279 <=> C00447
R429	C00231 <=> C00199
R430	C00279 + C00085 <=> C05382 + C00118
R494	C00008 + C00074 <=> C00002 + C00022
R503	C00074 + C00288 <=> C00009 + C00036
R504	C00036 + C00004 <=> C00149 + C00003
R505	C00036 + C00025 <=> C00049 + C00026
R507	C00022 + C00014 + C00004 <=> C00041 + C00003 + C00001
R509	C00417 + C00001 <=> C00311
R512	C00122 + C00001 <=> C00149
R515	C00024 + C00001 + C00036 <=> C00158 + C00010
R53	C01165 + C00025 <=> C00077 + C00026
R544	C04734 <=> C00130 + C00001
R69	C00441 + C00005 <=> C00263 + C00006
R70	C03082 + C00005 <=> C00441 + C00009 + C00006
R7	C02637 + C00005 <=> C00493 + C00006
R73	C03340 + C00005 <=> C03972 + C00006
R74	C03972 + C00025 + C00001 <=> C00666 + C00026
R10	C01269 <=> C00251 + C00009
R11	C00251 + C00064 <=> C00108 + C00022 + C00025
R14	C04302 <=> C01302
R15	C01302 <=> C03506 + C00011 + C00001
R17	C00065 + C03506 <=> C00078 + C00118 + C00001
R182	C00065 + C00024 <=> C00979 + C00010
R183	C00979 + C00283 <=> C00097 + C00033
R19	C00251 <=> C00254
R199	C00002 + C00258 <=> C00008 + C00631
R20	C00254 <=> C00166 + C00001 + C00011
R201	2 C00048 <=> C01146 + C00011
R207	C00024 + C00263 <=> C00010 + C01077
R208	C01077 + C00283 <=> C00155 + C00033
R21	C00254 + C00003 <=> C01179 + C00011 + C00004
R218	C00197 + C00003 <=> C03232 + C00004
R220	C01005 + C00001 <=> C00065 + C00009
R224	C00354 + C00001 <=> C00085 + C00009
R230	C00118 <=> C00111
R233	C00002 + C00197 <=> C00008 + C00236
R238	C00631 <=> C00074 + C00001
R277	C04666 <=> C01267 + C00001
R279	C01100 + C00001 <=> C00860 + C00009
R280	C00860 + C00003 <=> C01929 + C00004
R282	C01929 + C00001 + C00003 <=> C00135 + C00004
R287	C00900 + C00005 <=> C04039 + C00006
R288	C06006 <=> C14463
R290	C04039 <=> C00141 + C00001
R29	C00002 + C00025 <=> C00008 + C03287
R291	C06007 <=> C00671 + C00001
R297	C02504 <=> C02631 + C00001
R299	C04411 + C00003 <=> C04236 + C00004
R4	C00074 + C00279 + C00001 <=> C04691 + C00009
R421	C00447 + C00001 <=> C05382 + C00009
R422	C00092 + C00006 <=> C01236 + C00005
R423	C01236 + C00001 <=> C00345
R424	C00345 + C00006 <=> C00199 + C00011 + C00005
R425	C00117 <=> C00199
R427	C05382 + C00118 <=> C00117 + C00231
R428	C00085 + C00118 <=> C00279 + C00231
R431C	C01182_a + C00011_a + C00001_a <=> 2 C00197_a
R431O	C01182_a + C00007_a <=> C00197_a + C00988_a
R432	C00002 + C00199 <=> C00008 + C01182
R433	C00002 + C00117 <=> C00020 + C00119
R44	C00169 + C00077 <=> C00009 + C00327
R45	C03406 <=> C00122 + C00062
R46	C00002 + C00327 + C00049 <=> C00020 + C00013 + C03406
R47	2 C00002 + C00064 + C00288 + C00001 <=> 2 C00008 + C00009 + C00025 + C00169
R496	C00022 + C00010 + C00003 <=> C00024 + C00011 + C00004
R508	C00158 <=> C00417 + C00001
R5	C04691 <=> C00944 + C00009
R510	C00311 + C00006 <=> C00026 + C00011 + C00005
R517	C00149 + C00006 <=> C00022 + C00011 + C00005
R520	C00988 + C00001 <=> C00160 + C00009
R531	C00160 + C00003 <=> C00048 + C00004
R546	C03794 <=> C00122 + C00020
R6	C00944 <=> C02637 + C00001
R65	C00188 <=> C00109 + C00014
R66	C01102 + C00001 <=> C00188 + C00009
R68	C00002 + C00263 <=> C00008 + C01102
R71	C00002 + C00049 <=> C00008 + C03082
R72	C00441 + C00022 <=> C03340 + 2 C00001
R75	C00666 <=> C00680
R76	C00680 <=> C00047 + C00011
R77	C00002 + C00049 + C00064 + C00001 <=> C00020 + C00013 + C00152 + C00025
R8	C00002 + C00493 <=> C00008 + C03175
R9	C00074 + C03175 <=> C00009 + C01269
